,totalDebt,totalDebt,totalDebt,totalDebt,totalDebt,totalRevenue,totalRevenue,totalRevenue,totalRevenue,totalRevenue,totalCash,totalCash,totalCash,totalCash,totalCash,debtToEquity,debtToEquity,debtToEquity,debtToEquity,debtToEquity,revenueGrowth,revenueGrowth,revenueGrowth,revenueGrowth,revenueGrowth,operatingMargins,operatingMargins,operatingMargins,operatingMargins,operatingMargins,beta,beta,beta,beta,beta,regularMarketPrice,regularMarketPrice,regularMarketPrice,regularMarketPrice,regularMarketPrice,sharesOutstanding,sharesOutstanding,sharesOutstanding,sharesOutstanding,sharesOutstanding,marketCap,marketCap,marketCap,marketCap,marketCap,marketDebtToEquity,marketDebtToEquity,marketDebtToEquity,marketDebtToEquity,marketDebtToEquity,betaTax,betaTax,betaTax,betaTax,betaTax,unleveredBeta,unleveredBeta,unleveredBeta,unleveredBeta,unleveredBeta,bookEquity,bookEquity,bookEquity,bookEquity,bookEquity,investedCapital,investedCapital,investedCapital,investedCapital,investedCapital,salesToCapitalIndividual,salesToCapitalIndividual,salesToCapitalIndividual,salesToCapitalIndividual,salesToCapitalIndividual,totalRevenueMask,investedCapitalMask,salesToCapitalAggregate
,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,sum,sum,aggregate
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advertising Agencies,12,2299207988.0,227540000.0,1731510016.0,2844896928.0,12,2956688197.3333335,485489240.0,1611098496.0,2384876064.0,12,777749088.0,119670250.0,216563496.0,559850000.0,11,112.6960909090909,55.302,90.556,155.66750000000002,12,0.35358333333333336,0.15425,0.2275,0.32175,12,0.037774167166666664,-0.05126500225,0.03758,0.121975,11,1.1692417272727271,0.8397399999999999,0.9132459999999999,1.2971425,12,31.03333333333333,8.3075,20.445,33.8025,12,171885810.0,52737000.0,122506000,239062760,12,4240728341.3333335,988798640.0,1972956160.0,3950495680.0,12,0.866061610357415,0.24436211302068322,0.3462832745657136,0.9217931947678701,12,0.24000000000000007,0.24,0.24,0.24,11,0.734225736731221,0.5499703718729976,0.6951084773375286,0.7914777178883947,11,1427192215.6323774,604173172.8739346,876766853.659614,1964182881.8310895,11,2470232842.5414686,699236858.0384578,2279317155.294088,3524507886.33212,11,1.1697007369214931,0.4445634458902228,0.7728436606252441,1.9373210205987488,33440464320.0,27172561267.956154,1.2306703070878862
Aerospace & Defense,33,5565940051.272727,163700000.0,321399008.0,3683300096.0,33,10316891193.30303,690696000.0,1646868992.0,4798000128.0,33,1562771607.5757575,73201000.0,192672992.0,1126000000.0,30,81.14749999999998,12.318,40.1375,86.28800000000001,32,0.2807812500000001,-0.012249999999999999,0.08349999999999999,0.21275,33,-2.992798488939394,0.03254,0.09613,0.1192,33,1.2244504848484854,0.80935,1.0519479999999999,1.525714,33,108.22787878787881,39.87,56.79,143.43,33,145334505.3939394,27850200.0,64611300,123986000,33,19501381919.757576,873651136.0,3493468928.0,16827243520.0,33,0.25050904167255755,0.049981048728356486,0.16489258984770513,0.3210346661964347,33,0.24000000000000016,0.24,0.24,0.24,31,0.9349795510532593,0.7183818851866054,0.8980244181081399,1.1454299530339997,30,5168414843.8909445,355338175.4454877,871824359.7404306,2208320670.708078,30,7590914545.290946,351087439.2669298,918434359.7404306,2734517409.880752,30,1.7456841325763628,0.6802821837497911,1.1143353907563947,1.7024866349709158,271215539555.0,227727436358.7284,1.190965585401694
Agricultural Inputs,7,2387802968.0,1317878968.0,2603500032.0,3647499904.0,7,5986184681.142858,2661305408.0,4925000192.0,8036900352.0,7,730507838.8571428,134868500.0,345300000.0,799900000.0,7,76.25628571428571,24.698,44.187,91.50649999999999,7,0.3227142857142858,0.1775,0.273,0.5215,7,0.13889285357142855,0.06602999899999999,0.15232,0.20165999499999998,7,1.2357305714285718,0.8397395,1.0218180000000001,1.437662,7,70.45857142857143,42.375,46.9,90.37,7,219989397.7142857,42968850.0,126751000,292442496,7,12618354208.0,4826358240.0,13961622528.0,15013283328.0,7,0.2098084303349744,0.15945435763050733,0.25512793121690674,0.2841473061947092,7,0.24,0.24,0.24,0.24,7,1.0904955594692456,0.7341458053691758,0.8605563678045965,1.182908487040145,7,6578954367.454504,726083561.9652402,3057012051.253444,8097682479.701422,7,8236249496.597361,1943539167.8318067,6273711923.253444,11253882447.701422,7,0.8226365433460382,0.6098896408572662,0.7625150575162527,0.9179872344619748,41903292768.0,57653746476.181526,0.7268095367455694
Airlines,12,13421612496.0,2807424000.0,4536973440.0,18437000704.0,12,8474505120.0,1652896736.0,3803354496.0,14527500032.0,12,6362743266.666667,1031354256.0,2594775040.0,13535499776.0,11,365.5702727272727,125.46199999999999,142.911,458.1295,12,2.0033333333333334,1.2934999999999999,1.698,2.021,12,-0.17351416474999995,-0.2751075,-0.183454995,-0.12591000000000002,10,1.5796359,1.4792202499999998,1.5618175,1.6585710000000002,12,44.4025,19.1925,34.185,44.3725,12,262353925.66666666,55966975.0,170661996,390835256,12,8645107317.333334,2338686432.0,4064450944.0,12788160512.0,12,1.5171055796779616,0.5788158575812509,1.2160688304561886,2.188619510276475,12,0.24000000000000007,0.24,0.24,0.24,10,0.760265428442487,0.6075314257398395,0.76189034579302,0.8439108189800144,11,3009565651.5957456,909356011.6524292,2261799131.7502203,3740007695.5675955,11,7790241075.595746,2232132641.1634326,4563877147.75022,6344995915.636919,11,0.8884516603380291,0.6887322025040137,0.7998762033711052,0.9910636704642104,77211061120.0,85692651831.5532,0.9010231270678197
Apparel Manufacturing,11,2078826004.3636363,377721008.0,851601024.0,3775043456.0,11,4406242827.636364,1759609984.0,2912304896.0,6437712640.0,11,872515088.0,247503000.0,600611008.0,1276203008.0,10,173.59790000000004,49.187,80.92649999999999,173.02874999999997,11,0.1878181818181818,0.0985,0.14800000000000002,0.244,11,0.1144090900909091,0.1027150005,0.12304000000000001,0.12835000000000002,10,1.6220685000000004,1.3135685000000001,1.4961035,1.6597397500000002,11,66.76545454545455,27.535,73.71,98.87,11,129216609.81818181,48652150.0,65217100,170154000,11,7300822923.636364,2917648768.0,5908548608.0,8232473088.0,11,0.2915471417375392,0.14036490136955854,0.23628468808137684,0.4545279634261904,11,0.24000000000000005,0.24,0.24,0.24,10,1.2905320928131145,1.0807292582560115,1.2102554593045451,1.4555787284418982,10,1917517612.316092,697512536.1082208,1683655489.9499378,2641542951.207767,10,3262524420.3160925,1133194605.6188345,2087672968.487309,3691772770.2149696,10,1.7218124693410062,1.2360059669399226,1.7194610847063625,1.89073511929294,48087586112.0,32625244203.160923,1.4739379669483361
Apparel Retail,36,2344083928.6666665,280328992.0,972668480.0,2909249984.0,36,7512209377.777778,1673657248.0,2767404544.0,7233250048.0,36,1184653096.2222223,176607248.0,334543008.0,884972768.0,36,207.5655833333334,60.5905,135.84550000000002,218.93425,36,0.25108333333333327,0.14425,0.21450000000000002,0.30825,36,0.10834194413888885,0.0767975,0.0975050025,0.1393325,35,1.6303680857142853,1.1522070000000002,1.6888310000000002,2.106753,36,73.42722222222224,24.9475,44.61,81.9875,36,150665554.5,26500950.0,65297850,125632252,36,14273299888.88889,1092630816.0,3269948800.0,6877824768.0,36,0.4615307928643399,0.14226597124165363,0.3937915688443272,0.7683418819993244,36,0.24000000000000016,0.24,0.24,0.24,35,1.216284110990529,0.896216579276682,1.228024677985853,1.399873637711294,36,1659042738.1542916,341059238.0611105,617162438.4182075,1609849351.6030142,36,2818473570.5987363,626930519.713295,1348482196.5785093,3752509342.8341436,36,2.6510608382442977,1.9848083248253716,2.501112561939825,3.04255821559701,270439537600.0,101465048541.5545,2.665346752278375
Asset Management,33,7535172600.484848,266739008.0,2084499968.0,8518238208.0,33,5597772322.909091,884617984.0,1860381952.0,8297699840.0,33,12012160914.90909,215276992.0,1422499968.0,3418500096.0,29,85.48631034482757,18.14,51.576,137.923,33,0.26939393939393946,0.075,0.16899999999999998,0.371,33,0.3269121237272728,0.25413,0.30138000000000004,0.44068999999999997,32,1.3206636249999997,1.1606489999999998,1.3779215,1.5163630000000001,33,111.04363636363637,38.08,67.83,120.7,33,192902060.24242425,48257000.0,111890000,235527008,33,18710520888.242424,2201057280.0,6600958464.0,25064681472.0,33,0.4475413079186723,0.07740502849484268,0.3501897317142781,0.6847048590685816,33,0.24000000000000016,0.24,0.24,0.24,32,1.024802893491893,0.8724277222713316,1.0535319808347638,1.216001173817507,29,7510874698.245378,680245921.3012403,1731758867.8551738,9994958523.34419,29,10236240337.969515,626588417.0607227,1143850178.6108048,13247958331.34419,29,2.5655842613753226,0.4304897911068244,0.7346346030086853,1.4118007290171013,149964471200.0,296850969801.1159,0.5051843734937876
Auto & Truck Dealerships,13,3577377075.6923075,1069481024.0,1999900032.0,4159099904.0,13,11793496748.307692,2655592960.0,9416899584.0,20464001024.0,13,248246688.6153846,72000000.0,132795000.0,296900000.0,13,204.48923076923077,99.56200000000001,143.433,177.832,13,0.3852307692307692,0.142,0.20600000000000002,0.386,13,0.06784846123076924,0.052110000000000004,0.06677000000000001,0.110819995,11,1.7796521818181816,1.4475319999999998,1.535064,1.9400374999999999,13,101.57461538461537,40.74,104.67,127.01,13,67208904.92307693,29225200.0,44843800,77752704,13,5284606857.846154,1826936448.0,3431168768.0,7474620416.0,13,0.6513887495397965,0.4627798438208106,0.5606438458105107,0.7113858196783873,13,0.24000000000000007,0.24,0.24,0.24,11,1.1740462589912652,0.9951187532480898,1.1353561802947425,1.3085929713423479,13,1950421901.952703,1005748154.1084352,1412785705.6291852,2356493733.4113092,13,5279552289.029626,2062375721.6291847,2837204387.485056,6475093669.41131,13,2.494671863749843,1.306218115007986,2.468250221101659,3.3889955517691748,153315457728.0,68634179757.38513,2.2338062211853424
