,totalDebt,totalDebt,totalDebt,totalRevenue,totalRevenue,totalRevenue,revenueGrowth,revenueGrowth,revenueGrowth,operatingMargins,operatingMargins,operatingMargins,beta,beta,beta,regularMarketPrice,regularMarketPrice,regularMarketPrice
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
industry,,,,,,,,,,,,,,,,,,
Advertising Agencies,11,2459308646.5454545,1794908032.0,11,3100562696.7272725,1740720000.0,11,0.35872727272727273,0.275,11,0.047593636909090915,0.05432000000000001,10,1.2458669,0.9916015,11,31.308636363636367,18.92
Aerospace & Defense,33,5573233475.818182,384400000.0,33,10275107681.30303,1477799040.0,32,0.2518125,0.056999999999999995,33,-16.265073033490907,0.086840004,32,1.2770315937499996,1.0724675000000001,33,107.00669090909088,51.4
Agricultural Inputs,7,2400486544.0,2472999936.0,7,5924281878.857142,4783799808.0,7,0.23514285714285715,0.273,7,0.1132685697142857,0.15896,7,1.2289717142857144,1.094708,7,69.32644285714285,46.36
Airlines,12,13567210490.666666,4958806528.0,12,7810849786.666667,2482838016.0,12,2.531333333333333,1.9085,12,-0.3071266655833333,-0.32101999999999997,10,1.6867459999999999,1.6801084999999998,12,44.03139166666667,33.614999999999995
Airports & Air Services,1,2730127104.0,2730127104.0,1,3428913920.0,3428913920.0,1,0.33799999999999997,0.33799999999999997,1,0.16218,0.16218,1,1.3086950000000002,1.3086950000000002,1,92.73,92.73
Aluminum,3,1281600053.3333333,1093100032.0,3,4767200085.333333,2087600000.0,3,0.856,0.319,3,0.031716663666666665,0.03746,3,2.2170946666666667,2.699789,3,57.706766666666674,59.88
Apparel Manufacturing,10,2343521785.6,1283232032.0,10,4483726803.2,3924265984.0,10,0.6421000000000001,0.5615000000000001,10,0.09151400109999999,0.10275000000000001,9,1.6722302222222223,1.5131,10,61.15269000000001,59.925
Apparel Retail,21,2130181813.3333333,1083058048.0,21,6109604556.190476,2366364928.0,21,0.44995238095238094,0.366,21,0.08954095276190477,0.09079,20,1.6747001000000001,1.625378,21,59.58939047619048,41.045
Asset Management,29,7401651278.344828,593225984.0,29,5740324814.896552,1724982016.0,28,0.3308928571428571,0.197,29,0.320011379137931,0.29447,27,1.3359334814814814,1.271957,29,115.8408655172414,60.88
Auto & Truck Dealerships,13,3508878089.8461537,2338936064.0,13,10546230454.153847,8856299520.0,13,0.6896923076923076,0.5489999999999999,13,0.06690769330769232,0.06565,11,1.8769653636363637,1.652883,13,99.14417692307691,102.63
Auto Manufacturers,9,29671506872.88889,200900000.0,8,39147474586.625,388071098.5,5,2.4796,0.04,9,-1775.4985522224445,0.0,8,1.2035488749999999,1.1379215,9,136.26222222222225,14.84
Auto Parts,26,1443315171.9615386,346194992.0,24,4750871398.333333,1862315968.0,24,0.36041666666666666,0.154,26,-0.739286923423077,0.055064998999999996,22,1.6683689545454543,1.5617695,26,42.27342692307694,28.57005
Banks,214,11236664235.626167,460700512.0,214,2820513600.3364487,349448000.0,213,0.7586197183098593,0.23399999999999999,214,0.45124158906542056,0.44363501499999997,209,1.1134160669856465,1.1185180000000001,214,54.4323214953271,36.885000000000005
Beverages,12,9815665624.583334,627210504.0,12,13375059814.666666,5311327488.0,12,0.2668333333333333,0.15050000000000002,12,0.20068416583333334,0.19532500000000003,11,1.0620015454545455,1.094674,12,164.58559999999997,79.32275
Biotechnology,256,137536637.88671875,22436500.0,183,348720030.010929,46049000.0,149,3.5133221476510066,0.226,256,-128.12566340285554,-0.814920015,177,1.2784649491525417,1.317064,256,33.19547187500002,16.9525
Broadcasting,17,4987899615.529411,3612000000.0,17,3987010273.882353,2874248960.0,17,1.6447647058823531,0.256,17,0.015108235294117658,0.1242,16,1.5869853125000002,1.481118,17,30.640864705882358,20.4797
Building Materials,5,3127339955.2,2420329984.0,5,3915313356.8,4790799872.0,5,0.10699999999999998,0.114,5,0.1652799968,0.17966999,5,0.9199098000000001,0.733695,5,175.669,163.74
Building Products & Equipment,27,1361235106.074074,647254976.0,27,3765876802.3703704,1876396032.0,27,0.3348888888888889,0.255,27,-0.13370037062962967,0.10017000000000001,23,1.610261086956522,1.538701,27,74.48315555555557,67.17
Business Equipment & Supplies,6,1368004197.3333333,1023100032.0,6,3164909792.0,2420168448.0,6,0.18733333333333335,0.176,6,0.07118166666666666,0.068235,6,1.460164166666667,1.1742855,6,49.220833333333324,15.247499999999999
Capital Markets,22,45459180921.09091,1068996512.0,22,10384430841.09091,2289410944.0,22,3.0914545454545466,0.3065,22,0.21189909163636364,0.236435,22,1.2475559090909092,1.1907045,22,107.8995,77.6745
Chemicals,10,3708635032.8,2363250048.0,10,9207438256.8,4983000064.0,10,0.3164999999999999,0.2695,10,-1.7605899006,0.10026000200000001,9,1.935092777777778,1.622354,10,54.9345,39.019999999999996
Coking Coal,2,549889504.0,549889504.0,2,1053140992.0,1053140992.0,2,0.010499999999999999,0.010499999999999999,2,0.002945000000000003,0.002945000000000003,2,1.0978845,1.0978845,2,16.32,16.32
Communication Equipment,31,1899300965.483871,391976992.0,31,4192043040.774194,1240999936.0,31,0.3761935483870968,0.124,31,-0.17629643867419353,0.08035,31,1.2655552258064517,1.335326,31,67.60820322580645,26.3
Computer Hardware,12,5881352152.0,215816500.0,12,16845509537.333334,2347661440.0,12,0.8631666666666665,0.22,12,-0.14704166633333335,0.046020000000000005,10,1.4003615999999999,1.3267194999999998,12,45.54265,35.825450000000004
Confectioners,3,8336087482.666667,4507145216.0,3,12506991253.333334,8690443264.0,3,0.07933333333333333,0.078,3,0.18143999333333335,0.17813998,3,0.328309,0.36026199999999997,3,97.37666666666667,66.01
Conglomerates,7,6519647548.571428,1065934016.0,7,12735798563.428572,6627999744.0,7,0.12599999999999997,0.107,7,0.09040571457142856,0.04111,7,1.0916664285714284,1.155844,7,669.4478571428571,177.64
