2022-01-04,webpage,shortName,totalDebt,totalRevenue,totalCash,debtToEquity,revenueGrowth,operatingMargins,beta,currency,regularMarketPrice,sharesOutstanding,marketCap,industry,sector,country,longBusinessSummary,marketDebtToEquity,betaTax,unleveredBeta
PRTA,quote_summary,Prothena Corporation plc,13753000.0,199764992.0,600097984.0,2.804,885.459,0.37423,1.224415,USD,49.22,46593800,2293346816.0,Biotechnology,Healthcare,Ireland,"Prothena Corporation plc, a late-stage clinical company, focuses on discovery and development of novel therapies for life-threatening diseases in the United States. The company is involved in developing PRX002/RG7935 that is in Phase 2 clinical trial for treating Parkinson's disease and other related synucleinopathies; and PRX004, an antibody that is in Phase 1 clinical trial for the treatment of ATTR amyloidosis. Its discovery-stage programs include Tau for treating Alzheimer's disease, frontotemporal dementia, progressive supranuclear palsy, chronic traumatic encephalopathy, and other tauopathies; AÃ, or Amyloid Beta, a protein for the treatment of Alzheimer's disease; TDP-43 for amyotrophic lateral sclerosis and frontotemporal dementia; and other products for neurodegenerative diseases. The company has a license, development, and commercialization agreement with F. Hoffmann-La Roche Ltd. and Hoffmann-La Roche Inc. to develop and commercialize antibodies that target alpha-synuclein; and a collaboration agreement with Bristol-Myers Squibb to develop antibodies. Prothena Corporation plc was founded in 2012 and is based in Dublin, Ireland.",0.005996912418152109,0.24,1.2188598591726507
BEAM,quote_summary,Beam Therapeutics Inc.,145440000.0,781000.0,933404992.0,17.034000000000002,126.167,-473.4699,,USD,82.16,68135800,5598037504.0,Biotechnology,Healthcare,United States,"Beam Therapeutics Inc., a biotechnology company, develops precision genetic medicines for patients suffering from serious diseases in the United States. The company is developing BEAM-101 for the treatment of sickle cell disease and beta thalassemia; BEAM-102 for the treatment of sickle cell disease; and BEAM-201, an allogeneic chimeric antigen receptor T cell for the treatment of relapsed/refractory T-cell acute lymphoblastic leukemia. It also develops therapies for alpha-1 antitrypsin deficiency and glycogen storage disorder 1a; and therapies for ocular and central nervous system disorders. The company has a strategic alliance with Boston Children's Hospital; a research and clinical collaboration agreement with Magenta Therapeutics, Inc.; and a research collaboration with the Institute of Molecular and Clinical Ophthalmology Basel. It also has a research collaboration with Apellis Pharmaceuticals, Inc. to apply base editing technology for discovering new treatments for complement-driven diseases. Beam Therapeutics Inc. was incorporated in 2017 and is headquartered in Cambridge, Massachusetts.",0.02598053333799173,0.24,
MCRB,quote_summary,"Seres Therapeutics, Inc.",43792000.0,155270000.0,347387008.0,24.919,88.432,-0.21226999,3.5163629999999997,USD,8.84,91847104,811928384.0,Biotechnology,Healthcare,United States,"Seres Therapeutics, Inc., a microbiome therapeutics platform company, engages in developing bacterial consortia that are designed to functionally interact with host cells and tissues to treat disease. The company's lead product candidate is the SER-109, an oral microbiome therapeutic candidate that has completed Phase III clinical trial for the treatment of clostridium difficile infection (CDI). It is also developing SER-287 that is in Phase IIb clinical trial to treat ulcerative colitis; SER-401, which is in Phase Ib clinical trial for use with checkpoint inhibitors in patients with metastatic melanoma; and SER-301 that is in the Phase 1b clinical trial for the treatment of inflammatory bowel disease. In addition, the company engages in the development of SER-262 to treat an initial recurrence of CDI; and SER-155, a cultivated bacteria microbiome drug designed to prevent mortality due to gastrointestinal infections, bacteremia, and graft versus host diseases in immunocompromised patients receiving allogeneic hematopoietic stem cell transplantation and solid organ transplants. It has license and collaboration agreements with Nestec Ltd. and Memorial Sloan Kettering Cancer Center. The company was formerly known as Seres Health, Inc. and changed its name to Seres Therapeutics, Inc. in May 2015. Seres Therapeutics, Inc. was incorporated in 2010 and is headquartered in Cambridge, Massachusetts.",0.05393579146014928,0.24,
LIND,quote_summary,Lindblad Expeditions Holdings I,551659008.0,81920000.0,155562000.0,1348.2060000000001,62.303999999999995,-1.34269,2.3729869999999997,USD,16.98,50200200,852399360.0,Travel Services,Consumer Cyclical,United States,"Lindblad Expeditions Holdings, Inc. provides expedition cruising and adventure travel experiences. The company delivers voyages through a fleet of nine owned expedition ships and five seasonal charter vessels under the Lindblad brand; and operates eco-conscious expeditions and nature focused small-group tours under the Natural Habitat brand, as well as offers bike tours. It offers its services through expeditions.com and nathab.com websites. The company has a strategic alliance with the National Geographic Society. Lindblad Expeditions Holdings, Inc. was founded in 1979 and is headquartered in New York, New York.",0.6471837426062825,0.24,1.5906234939312631
MARA,quote_summary,"Marathon Digital Holdings, Inc.",0.0,92825768.0,241619360.0,,60.911,-1.19365,4.721558,USD,32.89,102631000,3375533568.0,Capital Markets,Financial Services,United States,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc. and changed its name to Marathon Digital Holdings, Inc. in February 2021. Marathon Digital Holdings, Inc. was founded in 2010 and is headquartered in Las Vegas, Nevada.",0.0,0.24,
LBRDK,quote_summary,Liberty Broadband Corporation,4333716992.0,777307008.0,319415008.0,38.931999999999995,58.308,-0.02248,0.966233,USD,161.48,148931008,28512686080.0,Telecom Services,Communication Services,United States,"Liberty Broadband Corporation, a cable operator, provides video, Internet, and voice services to residential, and small and medium business customers in the United States. The company operates through Skyhook and Charter segments. The Skyhook segment offers Precision Location Solution, a location determination service for mobile device makers, wireless carriers, and asset tracking platforms to understand the precise geographic location and movement of mobile devices, as well as for enhancing the location determination capabilities of a hybrid location system. It also provides Geospatial Insights, a location intelligence and data insights service for enterprises, research and consulting firms, financial institutions, and advertisers to understand, measure, and optimize the performance of businesses; benchmark performance against competitors; enhance customer experience; advertise to, and target existing and prospective customers; and measure the efficacy of advertising campaigns in driving real-world actions. The Charter segment offers subscription-based video services comprising video on demand, high definition television, and digital video recorder service; and local and long distance calling, voicemail, call waiting, caller ID, call forwarding, and other voice services, as well as international calling services. It also provides Internet services, including an in-home Wi-Fi product that provides customers with high performance wireless routers; and a security suite that offers protection against computer viruses and spyware. In addition, this segment offers Internet access, data networking, fiber connectivity to cellular towers and office buildings, video entertainment, and business telephone services; advertising services on cable television networks and digital outlets; and regional sports networks and local sports, news, and community channels. The company is based in Englewood, Colorado.",0.1519925895385862,0.24,0.8661770997083879
LBRDA,quote_summary,Liberty Broadband Corporation,4333716992.0,777307008.0,319415008.0,38.931999999999995,58.308,-0.02248,0.966233,USD,160.59,25104400,28390866944.0,Telecom Services,Communication Services,United States,"Liberty Broadband Corporation, a cable operator, provides video, Internet, and voice services to residential, and small and medium business customers in the United States. The company operates through Skyhook and Charter segments. The Skyhook segment offers Precision Location Solution, a location determination service for mobile device makers, wireless carriers, and asset tracking platforms to understand the precise geographic location and movement of mobile devices, as well as for enhancing the location determination capabilities of a hybrid location system. It also provides Geospatial Insights, a location intelligence and data insights service for enterprises, research and consulting firms, financial institutions, and advertisers to understand, measure, and optimize the performance of businesses; benchmark performance against competitors; enhance customer experience; advertise to, and target existing and prospective customers; and measure the efficacy of advertising campaigns in driving real-world actions. The Charter segment offers subscription-based video services comprising video on demand, high definition television, and digital video recorder service; and local and long distance calling, voicemail, call waiting, caller ID, call forwarding, and other voice services, as well as international calling services. It also provides Internet services, including an in-home Wi-Fi product that provides customers with high performance wireless routers; and a security suite that offers protection against computer viruses and spyware. In addition, this segment offers Internet access, data networking, fiber connectivity to cellular towers and office buildings, video entertainment, and business telephone services; advertising services on cable television networks and digital outlets; and regional sports networks and local sports, news, and community channels. The company is based in Englewood, Colorado.",0.15264475722238796,0.24,0.865792409198599
MRNS,quote_summary,"Marinus Pharmaceuticals, Inc.",43243000.0,15372000.0,145100992.0,55.091,58.146,-5.6803303,1.148051,USD,13.04,36766400,479495136.0,Biotechnology,Healthcare,United States,"Marinus Pharmaceuticals, Inc., a clinical stage pharmaceutical company, focuses on developing and commercializing therapeutics to treat rare seizure disorders. Its clinical stage product candidate, ganaxolone, is an allosteric modulator of GABAA, developed in formulations for two routes, including intravenous (IV) and oral for adult and pediatric patient populations in acute and chronic care, and in-patient and self-administered settings. The company's ganaxolone product candidate, acts at synaptic and extrasynaptic GABAA receptors, a target for its anti-seizure, antidepressant, and anxiolytic potential. It is developing ganaxolone for status epilepticus, cyclin dependent kinase like 5 deficiency disorder, PCDH19-related epilepsy, tuberous sclerosis complex, and postpartum depression. Marinus Pharmaceuticals, Inc. has license agreement with Purdue Neuroscience Company and CyDex Pharmaceuticals, Inc. The company was incorporated in 2003 and is headquartered in Radnor, Pennsylvania.",0.09018443932661707,0.24,1.0744107035512245
ATHX,quote_summary,"Athersys, Inc.",9579000.0,6062000.0,49671000.0,32.64,54.721000000000004,-14.31887,-1.575584,USD,1.06,235235008,249349088.0,Biotechnology,Healthcare,United States,"Athersys, Inc., a biotechnology company, focuses on the research and development activities in the field of regenerative medicine. Its clinical development programs are focused on treating neurological conditions, cardiovascular diseases, inflammatory and immune disorders, and pulmonary and other conditions. The company's lead platform product includes MultiStem cell therapy, an allogeneic stem cell product, which is in Phase III clinical study for the treatment of patients suffering from neurological damage from an ischemic stroke, as well as in Phase II clinical study for the treatment of patients with acute myocardial infarction, and has completed Phase I clinical study for the treatment of patients suffering from leukemia or various other blood-borne cancers. It also develops MultiStem cell therapy to promote tissue repair and healing for animal patients, including those suffering from serious conditions with unmet medical needs. The company has license and collaboration agreements with Healios K.K. to develop and commercialize MultiStem cell therapy for ischemic stroke, acute respiratory distress syndrome, and ophthalmological indications, as well as for the treatment of liver, kidney, pancreas, and intestinal tissue diseases; and the University of Minnesota to develop MultiStem cell therapy platform. Athersys, Inc. was founded in 1995 and is headquartered in Cleveland, Ohio.",0.03841602179832316,0.24,
VIR,quote_summary,"Vir Biotechnology, Inc.",72158000.0,284401984.0,939449984.0,8.235,52.743,-0.61787,-1.477991,USD,39.4,130880000,5156672000.0,Biotechnology,Healthcare,United States,"Vir Biotechnology, Inc., a clinical-stage immunology company, develops therapeutic products to treat and prevent serious infectious diseases. It develops VIR-2218 and VIR-3434 for the treatment of hepatitis B virus; VIR-2482 for the prevention of influenza A virus; VIR-1111 for the prevention of human immunodeficiency virus; and VIR-2020 for the prevention of tuberculosis. The company has grant agreements with Bill & Melinda Gates Foundation and National Institutes of Health; an option and license agreement with Brii Biosciences Limited and Brii Biosciences Offshore Limited; a collaboration and license agreement with Alnylam Pharmaceuticals, Inc.; a collaboration, license, and option agreement with Visterra, Inc.; license agreements with The Rockefeller University and MedImmune, Inc.; collaboration with WuXi Biologics and Glaxo Wellcome UK Ltd.; and a collaborative research agreement with Generation Bio., as well as GlaxoSmithKline Intellectual Property Development Limited, GlaxoSmithKline Biologicals SA., and Alnylam Pharmaceuticals, Inc. It also has a manufacturing agreement with Samsung Biologics Co.,Ltd. for the manufacture of SARS-COV-2 antibodies for potential COVID-19 treatment; and clinical collaboration with Gilead Sciences, Inc. for chronic hepatitis B virus. Vir Biotechnology, Inc. was founded in 2016 and is headquartered in San Francisco, California.",0.013993133555905824,0.24,
