,totalDebt,totalDebt,totalDebt,totalRevenue,totalRevenue,totalRevenue,revenueGrowth,revenueGrowth,revenueGrowth,operatingMargins,operatingMargins,operatingMargins,beta,beta,beta,regularMarketPrice,regularMarketPrice,regularMarketPrice
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
sector,,,,,,,,,,,,,,,,,,
Basic Materials,94,2565735503.574468,1154400000.0,93,5744180858.408602,2230672896.0,93,0.4173440860215053,0.273,95,-0.4955352541574736,0.10384000000000002,90,1.4584407888888888,1.4037085,95,78.16735894736844,46.36
Communication Services,101,11242793961.168316,1624477952.0,101,12781721900.346535,1510016000.0,101,1.6648415841584157,0.24,101,-0.6424603002029703,0.0746,91,1.211976758241758,1.104415,101,111.30067722772277,31.99
Consumer Cyclical,310,4335482290.212903,1220163520.0,307,8131592431.205212,2293747968.0,304,0.7546019736842104,0.295,310,-51.94497311930612,0.09756499999999999,283,1.673043197879859,1.616623,310,127.60448612903222,45.92
Consumer Defensive,116,5310618893.922414,1324956032.0,116,18413292474.13793,4010714880.0,115,0.21499130434782607,0.13,116,-0.01608594833620694,0.092115,103,0.8291950291262135,0.743386,116,85.93613793103445,47.70505
Energy,97,5274700270.350515,1328007040.0,96,10722390560.75,1611988992.0,96,0.9467500000000001,0.7745,97,-0.11199329867835052,-0.01545,88,7.955351886363633,2.3134485,97,45.9375793814433,20.74
Financial Services,380,11832025180.273684,662316992.0,380,5139445169.6,795548000.0,374,0.7816550802139036,0.203,380,0.36231797387447356,0.40573000000000004,365,1.1355399671232873,1.131253,380,81.44131342105263,45.425
Healthcare,518,2013207956.1370656,56134500.0,443,6708344922.48307,205572000.0,409,1.544530562347188,0.188,518,-63.42236521482148,0.0,404,1.154060445544554,1.1241240000000001,518,68.0467191119691,24.8375
Industrials,343,3194692175.084548,768390976.0,343,5680935824.801749,2212809984.0,341,0.3443049853372431,0.157,344,-2.0148414920545905,0.089095,320,1.4029309718749985,1.335584,344,103.99976540697676,58.61
Real Estate,198,4649534993.575758,2399939072.0,198,1214454729.4545455,531613488.0,195,0.5733487179487179,0.125,199,0.25749316609095474,0.26645002,190,1.1621710105263159,1.0987005,199,58.21688241206028,27.67
Technology,367,2763884370.027248,466311008.0,367,5464996133.6403265,903571008.0,366,0.4141284153005463,0.22849999999999998,367,-0.16612558188392376,0.0685,312,1.3061729839743592,1.235046,367,103.56448228882816,57.96
Utilities,64,12622243324.0,6729309952.0,64,6333264994.875,3401730048.0,64,0.160125,0.094,64,0.198879219375,0.208584995,63,0.5032437936507937,0.445194,64,64.89013437500002,64.255
